stem,count,original words
interpol,11,"interpolations,interpolate,interpolation"
finish,11,"finished,finish,finishes"
ipython,11,ipython
third,11,third
pythonpath,11,pythonpath
ensur,11,"ensure,ensured"
stackoverflow,10,stackoverflow
clean,10,"cleans,clean,cleaned"
translat,10,"translations,translates,translating,translated,translation,translate"
inde,10,indeed
kernel,10,"kernel,kernels"
opinion,10,"opinion,opinions"
stop,10,"stop,stops"
power,10,power
h,10,h
dummi,10,dummy
month,10,"months,month"
mind,10,mind
branch,10,"branches,branch"
l,10,l
represent,10,"representation,representations"
float,10,"floating,float,floats"
u,10,u
past,10,"past,pasting,paste"
m,10,m
constant,10,"constant,constants"
launch,10,"launching,launched,launch"
dont,10,dont
becaus,10,because
dir,10,dir
stdout,10,stdout
submit,10,"submitting,submits,submitted,submit"
us,10,us
y,10,y
subclass,10,"subclassing,subclasses,subclass"
eleg,10,"elegant,elegent"
run_c,10,run_c
domain,10,domain
random,10,random
report,10,"report,reporting,reporter"
deep,10,deep
of,10,of
rid,10,rid
subject,10,"subjects,subject"
snippet,10,"snippet,snippets"
width,10,width
captur,10,"capture,captured,capturing"
divid,10,"divided,divide,divides"
hour,10,"hours,hour"
greatli,10,greatly
subplot,10,"subplot,subplots"
life,10,life
leav,10,"leave,leaves,leaving"
standalon,10,standalone
coordin,10,"coordinate,coordinator,coordinates,coordinators"
red,10,red
notat,10,"notations,notation"
my_edit,10,my_edit
tk,10,tk
buildpack,10,"buildpacks,buildpack"
decod,10,"decode,decoded,decoding"
gensim,10,gensim
concept,10,"concept,conception,concepts"
hi,9,hi
init,9,init
upon,9,upon
obvious,9,obviously
softwar,9,software
goal,9,"goal,goals"
hashabl,9,hashable
sometim,9,sometimes
worri,9,"worries,worry,worried"
supervisord,9,supervisord
behind,9,behind
behaviour,9,"behaviour,behavioural"
am,9,am
reli,9,"relies,rely,relying"
explan,9,"explanation,explanations"
instanti,9,"instantiations,instantiated,instantiation,instantiate,instantiating"
len,9,len
four,9,four
localhost,9,localhost
sleep,9,"sleep,sleeps"
easiest,9,easiest
graph,9,graph
fanci,9,fancy
articl,9,"articles,article"
programmat,9,"programmatically,programmatic"
regist,9,"registered,register"
previou,9,previous
spawn,9,"spawn,spawns,spawning,spawned"
k,9,k
wiki,9,wiki
main_window,9,main_window
anaconda,9,anaconda
they,9,they
techniqu,9,"technique,techniques"
cost,9,"costs,cost"
max,9,max
mess,9,"mess,messing"
ironpython,9,ironpython
gave,9,gave
immedi,9,immediately
pop,9,"pops,popped,popping,pop"
oracl,9,oracle
regard,9,"regard,regards,regarding"
edg,9,"edges,edge"
slower,9,slower
virtual,9,virtual
workaround,9,workaround
programm,9,"programmers,programmer,programme"
higher,9,higher
buffer,9,"buffer,bufferred,buffering"
onc,9,once
profil,9,"profile,profiled,profiles,profiler"
sent,9,"sents,sent"
pcl,9,pcl
boolean,9,boolean
whose,9,whose
inner,9,inner
readi,9,ready
linear,9,linear
conda,9,conda
encount,9,"encounters,encountering,encounter,encountered"
latter,9,latter
jenkin,9,jenkins
supervisor,9,supervisor
realiz,9,"realized,realization,realize,realizing"
null,9,null
plan,9,"planning,plan"
failur,9,"failure,failures"
convent,9,"conventional,conventions,convention"
tab,9,"tabs,tabbing,tabbed,tab"
amount,9,"amounts,amount"
queryset,9,"queryset,querysets"
matter,9,matter
choos,9,choose
identifi,9,"identifier,identify,identifying"
newlin,9,"newline,newlines"
migrat,9,"migrate,migrations,migration"
love,9,love
callabl,9,"callable,callables"
frequent,9,"frequently,frequent"
ajax,9,ajax
convers,8,conversion
creation,8,creation
gtk,8,gtk
lack,8,"lack,lacks,lacking"
classic,8,"classically,classical,classic"
elsewher,8,elsewhere
today,8,today
layer,8,"layers,layer,layered"
live,8,live
refresh,8,"refreshes,refreshing,refresh"
zone,8,zone
guy,8,"guy,guys"
perl,8,perl
sqlalchemi,8,sqlalchemy
durat,8,duration
die,8,"die,died,dies"
liter,8,"literally,literal,literals"
ide,8,ide
matlab,8,matlab
ui,8,"uis,ui"
tweak,8,"tweaked,tweaks,tweaking,tweak"
scroll,8,"scrolled,scrolling,scroll"
home,8,home
bodi,8,body
partial,8,"partial,partially"
potenti,8,"potential,potentially"
extrem,8,extremely
variat,8,"variations,variation"
assembl,8,"assembler,assembly"
skip,8,"skipping,skips,skipped,skip"
encrypt,8,"encrypted,encrypt,encryption"
uniqu,8,"uniqueness,unique"
screenshot,8,"screenshots,screenshot"
simplest,8,simplest
flag,8,"flag,flagged"
fulli,8,fully
excel,8,"excel,excels,excellent"
clearli,8,clearly
op,8,op
away,8,away
curiou,8,curious
gobject,8,"gobject,gobjects"
export,8,"export,exported,exporting"
episod,8,"episodes,episode"
height,8,height
treat,8,"treating,treated,treat"
trace,8,"tracing,trace"
hold,8,"hold,holds,holding"
manipul,8,"manipulating,manipulate,manipulation"
metaclass,8,"metaclass,metaclasses"
jpype,8,jpype
remain,8,"remains,remain,remaining"
meta,8,meta
season,8,"season,seasons"
conveni,8,"convenient,convenience,conveniently"
necessarili,8,necessarily
glade,8,glade
constructor,8,"constructors,constructor"
restart,8,"restarts,restarting,restart"
despit,8,despite
demonstr,8,"demonstrates,demonstration,demonstrated,demonstrate"
unicod,8,unicode
timeout,8,"timeouts,timeout"
blog,8,"blog,blogs"
kill,8,"kill,killed,kills,killing"
plain,8,plain
procedur,8,"procedures,procedure"
cross,8,cross
grid,8,grid
w,8,w
besid,8,"beside,besides"
extern,8,"externally,external"
unabl,8,unable
trivial,8,trivial
render,8,"rendered,renders,render"
email,8,email
namespac,8,"namespace,namespaces"
vari,8,"varies,vary,varying"
resolut,8,resolution
distanc,8,"distance,distances"
especi,8,especially
qt,8,qt
increas,8,"increase,increases,increasing,increased"
relev,8,relevant
known,8,known
suspect,8,suspect
symbol,8,"symbols,symbol,symbolic"
attack,8,"attacks,attack"
individu,8,"individually,individual"
uwsgi,8,uwsgi
temporari,8,temporary
quickstart,8,quickstart
argv,8,argv
movi,8,"movie,movies"
val,8,val
pygtk,8,pygtk
meet,8,meet
bunch,8,bunch
architectur,8,"architecture,architectures"
usr,8,usr
half,8,half
boost,7,boost
respond,7,"respond,responded,responds"
utf,7,utf
dtd,7,dtd
seek,7,"seek,seeks"
bridg,7,bridge
below,7,below
organ,7,"organizations,organized,organization"
privat,7,private
onlin,7,"onliner,online"
late,7,"late,lately"
bottom,7,bottom
reach,7,"reached,reach,reaches"
hammer,7,"hammers,hammer"
appl,7,"apple,apples"
factor,7,"factorizes,factorization,factored,factor"
accomplish,7,"accomplishing,accomplish"
took,7,took
builtin,7,"builtin,builtins"
simultan,7,"simultaneous,simultaneously"
increment,7,"incremental,incrementing,increment,incremented"
visibl,7,visible
where,7,where
djangoproject,7,djangoproject
menu,7,menu
bytecod,7,bytecode
recogn,7,"recognize,recognized,recognizes"
__file__,7,__file__
rawqueryset,7,rawqueryset
vertica,7,vertica
grab,7,"grabbing,grab,grabs"
attributeerror,7,attributeerror
beautifulsoup,7,beautifulsoup
chat,7,"chats,chat"
deprec,7,deprecated
blob,7,blob
interrupt,7,"interrupt,interrupts,interrupted"
subsequ,7,"subsequent,subsequently"
dimension,7,dimensional
enabl,7,"enable,enabled"
struggl,7,"struggling,struggled"
endian,7,endian
major,7,"majority,major"
truncat,7,"truncation,truncating,truncated"
whitespac,7,whitespace
readlin,7,"readline,readlines"
matric,7,matrices
grep,7,"grepping,grep"
agre,7,agree
fastsnmpi,7,fastsnmpy
distinct,7,"distinct,distinction"
microsoft,7,microsoft
argpars,7,argparse
master,7,master
editor,7,"editor,editors"
uncertainti,7,uncertainties
gunicorn,7,gunicorn
test_modul,7,test_module
sign,7,"signed,sign"
routin,7,"routines,routine"
oldest,7,oldest
abc,7,abc
c_raw,7,c_raw
labyrinth,7,labyrinth
typic,7,"typically,typical"
transpos,7,"transposed,transpose"
boto,7,boto
lang,7,"lang,langs"
channel,7,"channels,channel"
union,7,union
unpack,7,"unpack,unpacked,unpacking"
wcf,7,wcf
openpyxl,7,openpyxl
overlap,7,"overlapped,overlap,overlapping"
mod_python,7,mod_python
mistak,7,mistake
clone,7,"clone,cloning"
presum,7,"presumably,presume"
spot,7,"spot,spots"
surpris,7,"surprise,surprising,surprised,surprises"
ie,7,ie
openerp,7,openerp
png,7,png
cassandra,7,cassandra
idx_cel,7,idx_cell
card,7,"cards,card"
easy_instal,7,easy_install
broker,7,broker
portabl,7,"portable,portability"
tweet,7,tweet
again,7,again
guido,7,guido
secur,7,"security,secured,securely,secure"
col,7,col
moment,7,moment
physic,7,"physically,physical"
resize_fil,7,resize_file
cx_freez,7,cx_freeze
phone,7,phone
lost,7,lost
dll,7,"dlls,dll"
dic,7,"dics,dic"
referenc,7,"referencing,referenced"
licens,7,"licenses,license,licensed"
squar,7,"squared,squares,square"
permiss,7,"permissions,permission"
white,6,white
repr,6,repr
introduc,6,"introduced,introduce"
curv,6,"curve,curves"
older,6,"olders,older"
setdefault,6,setdefault
man,6,man
fruit,6,fruits
highlight,6,"highlights,highlighting,highlighter"
entiti,6,"entities,entity"
inotifi,6,inotify
regardless,6,regardless
public,6,public
media,6,media
batch,6,"batching,batches,batch"
doctest,6,"doctest,doctests"
materi,6,"materialized,material"
basi,6,basis
nearli,6,nearly
scrapi,6,scrapy
hint,6,"hint,hinted,hints"
fedora,6,fedora
semi,6,semi
guarante,6,"guarantees,guaranteed,guarantee"
occurr,6,"occurrences,occurrence"
asp,6,asp
shorter,6,shorter
satisfi,6,"satisfy,satisfying,satisfiable,satisfied"
catalog,6,"catalog,catalogs"
ufunc,6,"ufuncs,ufunc"
modif,6,"modification,modifications"
shall,6,shall
bin,6,bin
amd,6,amd
bot,6,bot
sec,6,"secs,sec"
ccc,6,ccc
nose,6,nose
prime,6,"prime,primes"
ram,6,ram
docstr,6,"docstring,docstrings"
more,6,more
green,6,green
visit,6,"visited,visit,visiting"
expens,6,"expense,expensive"
schedul,6,"scheduled,scheduling,schedule"
exclud,6,"exclude,excluded,excluding,excludes"
rc,6,rc
unittest,6,unittest
minim,6,"minimize,minimizes,minimal"
s,6,s
clock,6,"clocks,clock"
unsur,6,unsure
taken,6,taken
huge,6,huge
concern,6,"concerned,concerns,concern"
callback,6,"callbacks,callback"
topic,6,"topic,topics"
particularli,6,particularly
okay,6,okay
linalg,6,linalg
item_info,6,item_info
ansibl,6,ansible
implicit,6,implicit
nltk,6,nltk
autocomplet,6,"autocomplete,autocompleter,autocompletion"
pythontidi,6,pythontidy
pkg_resourc,6,pkg_resources
pd,6,pd
spend,6,"spending,spend,spends"
aaa,6,aaa
abil,6,ability
pad,6,"padding,padded,pad"
fpol,6,fpol
valueerror,6,valueerror
wherea,6,whereas
pylint,6,"pylinter,pylint"
fastest,6,fastest
ddd,6,ddd
cat,6,cat
claus,6,"clauses,clause"
minimum,6,minimum
is_authent,6,is_authenticated
spaci,6,spacy
reshap,6,"reshape,reshaping,reshapes"
appar,6,"apparent,apparently"
face,6,"faced,facing,face"
protocol,6,protocol
bring,6,"brings,bringing,bring"
chunk,6,chunks
change_object,6,change_objects
mb,6,mb
simplic,6,simplicity
worm,6,worm
spec,6,"spec,specs"
osx,6,osx
eg,6,eg
cento,6,centos
mine,6,mine
pyglet,6,pyglet
beginn,6,"beginners,beginner"
guid,6,"guide,guides"
lt,6,lt
tend,6,"tended,tend"
setuptool,6,setuptools
opencv,6,"opencv,opencvs"
preserv,6,"preserve,preserves,preserving"
perfect,6,perfect
similarli,6,similarly
eclips,6,eclipse
background,6,background
testenv,6,testenv
corpu,6,corpus
restrict,6,"restrictions,restriction,restricted"
notif,6,"notification,notifications"
transfer,6,"transfer,transferring"
netrc,6,netrc
underscor,6,"underscores,underscore"
prioriti,6,priority
quickli,6,quickly
pre,6,pre
fair,6,"fair,fairness"
pack,6,"packing,packed,pack"
anywher,6,anywhere
guard,6,"guards,guard"
gnu,6,gnu
offset,6,offset
wikipedia,6,wikipedia
sentenc,6,"sentence,sentences"
symlink,6,"symlinks,symlink"
light,6,"light,lightness"
popen,6,popen
stay,6,"staying,stays,stay"
conf,6,conf
rout,6,"routes,route"
cloud,6,cloud
speak,6,"speaking,speak"
backward,6,"backwards,backward"
anymor,6,anymore
yahoo,6,yahoo
hook,6,"hook,hooks"
reliabl,6,"reliable,reliability"
independ,6,"independent,independently"
qlistwidget,6,"qlistwidget,qlistwidgets"
transform,6,"transformed,transformation,transform"
subdirectori,6,"subdirectories,subdirectory"
fetch,6,"fetching,fetches,fetch"
smart,6,smart
reader,6,"readers,reader"
distutil,6,distutils
adapt,6,"adapting,adapted,adapt"
student,6,"students,student"
imp,6,imp
webpag,6,"webpage,webpages"
xpath,6,xpath
raw_input,6,raw_input
harder,6,harder
repositori,6,"repositories,repository"
cgi,6,cgi
svn,6,svn
sqlite,6,sqlite
aw,6,"awful,aws"
oppos,6,opposed
somehow,6,somehow
train,6,"training,train,trained"
doubt,6,doubt
uid,6,uid
nativ,6,native
mvc,6,mvc
credenti,6,credentials
upper,6,upper
anybodi,6,anybody
reset,6,"reset,resetting"
chanc,6,"chances,chance"
j,6,j
offer,6,"offers,offer"
classifi,6,"classifier,classify"
bbb,6,bbb
invalid,6,invalid
financ,6,finance
heavili,6,heavily
orthogon,6,orthogonal
shortcut,5,"shortcuts,shortcut"
shift,5,"shifted,shift"
twist,5,twisted
datetim,5,datetime
cut,5,"cut,cuts"
compani,5,company
getpass,5,getpass
balanc,5,"balancing,balancer"
stick,5,"sticking,stick"
tini,5,tiny
enjoy,5,"enjoy,enjoying"
mail,5,"mail,mailing"
param,5,"params,param"
suitabl,5,"suitable,suitability"
annoy,5,"annoyance,annoying"
afterward,5,"afterwards,afterward"
surfac,5,surface
wide,5,"wide,widely"
minor,5,minor
orm,5,orm
formula,5,"formula,formulae"
internet,5,internet
redshift,5,redshift
gain,5,gain
expos,5,"expose,exposing,exposed"
previous,5,previously
metadata,5,metadata
primal,5,primal
jpg,5,jpg
ironrubi,5,ironruby
overal,5,overall
dat,5,dat
fun,5,fun
inherit,5,"inherit,inheritance"
imshow,5,imshow
psutil,5,psutil
averag,5,"averaging,average"
sublim,5,sublime
consequ,5,"consequence,consequently"
friend,5,"friends,friend"
sit,5,"sit,sitting"
pictur,5,picture
spent,5,spent
subset,5,"subset,subsetted,subsets"
eventlet,5,eventlet
requestcontext,5,requestcontext
contrib,5,contrib
coalesc,5,coalesce
disabl,5,"disabled,disable,disabling"
doabl,5,doable
etre,5,etree
eventu,5,eventually
neighbor,5,"neighbors,neighboring"
act,5,"acts,act"
luck,5,luck
stdin,5,stdin
press,5,"press,pressed"
capabl,5,"capability,capabilities"
prevent,5,"preventing,prevent"
angl,5,"angle,angles"
pysid,5,pyside
rewrit,5,"rewriting,rewrite"
tail,5,tail
configpars,5,configparser
primari,5,primary
cartesian,5,cartesian
lose,5,"losing,lose"
neither,5,neither
resiz,5,"resized,resizes,resize"
scheme,5,"scheme,schemes"
sikuli,5,sikuli
align,5,"aligns,align,aligned,alignment"
pymongo,5,pymongo
jython,5,jython
imposs,5,"impossible,impossibility"
selenium,5,selenium
ultim,5,"ultimately,ultimate"
recip,5,"recipes,recipe"
somebodi,5,somebody
ascend,5,ascending
descend,5,descending
verifi,5,"verify,verifies"
hyphen,5,"hyphens,hyphenated,hyphen"
howto,5,"howto,howtos"
desktop,5,desktop
orient,5,oriented
research,5,research
associ,5,"associating,associates,associated"
touch,5,"touch,touching,touched"
forgot,5,forgot
chainmap,5,chainmap
rt,5,rt
login_requir,5,login_required
compon,5,components
mybytearray,5,mybytearray
urllib,5,urllib
ocr,5,ocr
dx,5,dx
mix,5,"mixed,mixing,mix"
scan,5,scan
gitpython,5,gitpython
are,5,are
importerror,5,importerror
swap,5,"swapped,swapping,swap"
archiv,5,archive
consumpt,5,consumption
numer,5,"numerically,numerical,numerous,numeric"
corner,5,corner
popul,5,"populates,populate,population"
ord,5,ord
drive,5,"drive,drives"
playlist,5,"playlist,playlists"
abus,5,"abused,abuse"
echo,5,"echoed,echo"
mv,5,mv
enumer,5,"enumerated,enumeration,enumerate"
knowledg,5,knowledge
inspir,5,"inspired,inspiring,inspiration"
spyder,5,spyder
nginx,5,nginx
pc,5,"pcs,pc"
hardli,5,hardly
randomli,5,randomly
xxx,5,xxx
sheet,5,"sheet,sheets"
imagin,5,"imagined,imagine"
scikit,5,"scikit,scikits"
runnabl,5,runnable
familiar,5,familiar
meant,5,meant
uncheck,5,"unchecking,unchecked"
filesystem,5,filesystem
alarm,5,"alarms,alarm"
flow,5,flow
cycl,5,"cycled,cycle"
fundament,5,"fundamentally,fundamental"
bound,5,"bounded,bound"
calendar,5,calendar
replica,5,"replica,replicas"
readlink,5,readlink
apt,5,apt
castl,5,castles
stderr,5,stderr
listbox,5,listbox
gil,5,gil
pure,5,"purely,pure"
intermedi,5,intermediate
anyusernam,5,anyusername
conftest,5,conftest
mock,5,"mocks,mock"
certainli,5,certainly
mongodb,5,mongodb
writer,5,"writer,writers"
xmlrpclib,5,xmlrpclib
pyaw,5,pyaws
everyon,5,everyone
abstract,5,"abstract,abstraction"
poster,5,"posterity,poster"
newbi,5,"newbies,newbie"
smaller,5,smaller
risk,5,risk
popular,5,popular
graphic,5,"graphical,graphic,graphically,graphics"
odo,5,odo
semant,5,"semantically,semantic,semantics"
rule,5,"rules,rule"
dialog,5,dialog
q,5,q
my_list,5,my_list
happi,5,happy
constraint,5,"constraint,constraints"
cool,5,cool
artifici,5,artificial
strang,5,"strangely,strange"
deriv,5,"derive,derived"
bracket,5,"bracket,brackets"
univers,5,"university,universal"
serialis,5,"serialise,serialisation,serialising"
panel,4,panel
clearer,4,clearer
video,4,"video,videos"
simul,4,"simulation,simulating,simulated"
world,4,world
inlin,4,"inline,inlines"
bitbucket,4,bitbucket
async,4,async
disadvantag,4,disadvantage
progress,4,"progress,progressed"
decomposit,4,decomposition
atom,4,"atomicity,atomic,atom"
cluster,4,"cluster,clusters"
sake,4,sake
concat,4,concat
newer,4,newer
pdb,4,pdb
textctrl,4,textctrl
fibonacci,4,fibonacci
shutil,4,shutil
endpoint,4,endpoint
substr,4,"substring,substrings"
rossum,4,rossum
scratch,4,"scratching,scratch"
advis,4,"advisable,advise"
incorrect,4,incorrect
reload,4,"reloading,reload,reloader"
placehold,4,placeholder
sse,4,sse
arriv,4,"arriving,arrive,arrives"
pywsgi,4,pywsgi
phoenix,4,phoenix
comet,4,comet
combine_n,4,combine_n
serv,4,"served,serving,serves"
van,4,van
wheel,4,wheel
blue,4,blue
rail,4,rails
unirest,4,unirest
strip,4,"stripped,strip"
transcript,4,"transcripts,transcript"
vm,4,"vm,vms"
powershel,4,powershell
equat,4,"equation,equations"
soon,4,soon
award,4,"awards,award"
subtract,4,"subtract,subtraction,subtracting"
br,4,br
wast,4,"waste,wasteful"
gb,4,gb
forum,4,forum
pro,4,"pro,pros"
saw,4,saw
stabl,4,stable
pagin,4,pagination
ticker,4,ticker
gz,4,gz
algebra,4,algebra
prove,4,"proved,prove"
carbon,4,carbon
argsort,4,argsort
dispatch,4,dispatch
glob,4,glob
among,4,among
timeit,4,timeit
createsuperus,4,createsuperuser
infinit,4,infinite
trajectori,4,trajectory
period,4,"periodically,period"
tkagg,4,tkagg
partit,4,"partition,partitions"
overwrit,4,"overwriting,overwrites"
challeng,4,challenge
de,4,de
fuzzi,4,fuzzy
unhash,4,unhashable
rebuild,4,"rebuilding,rebuild"
focu,4,focus
segment,4,"segments,segment,segmentation"
emac,4,emacs
debian,4,debian
submiss,4,submission
cover,4,"covered,cover,covers"
oop,4,"oops,oop"
awesom,4,awesome
amaz,4,amazing
hhh,4,hhh
screen,4,screen
brief,4,brief
turtl,4,turtle
don,4,don
spars,4,sparse
test_reduc,4,test_reduce
has_key,4,has_key
effort,4,effort
stumbl,4,"stumbled,stumble"
approxim,4,"approximations,approximate,approximately"
fan,4,fan
gotten,4,gotten
runtim,4,runtime
mainprocess,4,mainprocess
rotat,4,"rotations,rotation,rotated"
rst,4,rst
ajaxterm,4,ajaxterm
lazi,4,lazy
rare,4,rarely
highli,4,highly
preprocessor,4,"preprocessors,preprocessor"
pyshel,4,pyshell
emb,4,embed
comfort,4,comfortable
subfold,4,"subfolders,subfolder"
outcom,4,outcome
protect,4,"protecting,protection,protects"
slider,4,slider
unknown,4,unknown
strict,4,strict
interoper,4,"interoperable,interoperability"
boilerpl,4,boilerplate
those,4,those
check_output,4,check_output
parenthes,4,parentheses
ffmpeg,4,ffmpeg
patch,4,"patching,patch"
modern,4,modern
decis,4,"decision,decisions"
mat,4,mat
var,4,var
terribl,4,"terribly,terrible"
soup,4,soup
pvm,4,pvm
cygwin,4,cygwin
analyz,4,"analyze,analyzing,analyzes"
natur,4,"natural,nature"
crop,4,"crop,cropped"
apolog,4,"apologies,apologize"
tune,4,"tunings,tune,tuned"
week,4,week
methoda,4,methoda
denot,4,denotes
six,4,six
pythonhom,4,pythonhome
wont,4,wont
smooth,4,smooth
safe,4,"safe,safely"
truth,4,truth
alloc,4,"allocated,allocate"
delhi,4,delhi
liner,4,liner
mutat,4,"mutate,mutating"
tcp,4,tcp
heavi,4,heavy
tricki,4,tricky
greater,4,greater
diagon,4,diagonal
energi,4,energy
conflict,4,"conflicts,conflict"
insight,4,"insight,insights"
openoffic,4,openoffice
comboboxselect,4,comboboxselect
wshttpbind,4,wshttpbinding
blendshap,4,blendshape
comma,4,"comma,commas"
suddenli,4,suddenly
mod_wsgi,4,mod_wsgi
furthermor,4,furthermore
went,4,went
classif,4,classification
levenshtein,4,levenshtein
onto,4,onto
created_at,4,created_at
eye,4,"eyes,eye"
histor,4,"historic,historically,historical"
libev,4,"libev,libevent"
accordingli,4,accordingly
concis,4,"concisely,concise"
checkbox,4,checkbox
frustrat,4,"frustrating,frustrated,frustration"
urlopen,4,urlopen
commit,4,"commit,commits"
trail,4,trailing
discuss,4,"discussion,discusses"
shorten,4,"shortened,shorten"
gid,4,gid
pico,4,picos
rgb,4,rgb
alter,4,"altering,alter"
center,4,"center,centers"
dist,4,dist
hacki,4,hacky
proof,4,"proofs,proof"
flexibl,4,"flexible,flexibility"
lazysignup,4,lazysignup
bigger,4,bigger
propos,4,"proposes,proposed"
unlik,4,"unlikely,unlike"
qubit,4,"qubits,qubit"
ex,4,ex
imo,4,imo
ttk,4,ttk
sender,4,sender
cheer,4,cheers
principl,4,"principles,principle"
spark,4,spark
formatt,4,"formatter,formatters"
dateutil,4,dateutil
flex,4,flex
stand,4,"stands,stand"
team,4,team
land,4,"lands,land"
eol,4,eol
crash,4,"crash,crashes"
adjust,4,"adjusting,adjustments,adjust,adjusted"
scenario,4,"scenarios,scenario"
fixtur,4,"fixtures,fixture"
rrule,4,rrule
pyd,4,pyd
svg,4,svg
front,4,front
btn_click,4,btn_clicked
money,4,money
lucen,4,lucene
culprit,4,culprit
datastor,4,datastore
reproduc,4,"reproduce,reproducible,reproduced"
proceed,4,proceed
manner,4,manner
shtool,4,shtools
pipe,4,"pipe,pipes"
chose,4,chose
age,4,"age,aged"
hardcod,4,"hardcoded,hardcode,hardcoding"
contact,3,contact
keyboard,3,keyboard
colour,3,colour
nuitka,3,nuitka
bell,3,"bells,bell"
administr,3,"administrator,administrative"
sync,3,sync
sse_request,3,sse_request
qr,3,qr
befor,3,before
candid,3,"candidates,candidate"
should,3,should
tabula,3,tabula
jqueri,3,jquery
precompil,3,"precompile,precompiled"
textbox,3,textbox
frontend,3,frontend
expand,3,"expanding,expanded"
lan,3,lan
mark,3,"marked,mark"
incompat,3,incompatible
assert,3,"assert,assertion"
modem,3,modem
unresolv,3,unresolved
complain,3,"complained,complaining,complain"
minu,3,minus
dictfetchal,3,dictfetchall
fnmatch,3,fnmatch
accur,3,accurate
clarif,3,"clarifications,clarification"
frequenc,3,frequency
fetchal,3,fetchall
char,3,"char,chars"
greenlet,3,"greenlet,greenlets"
autom,3,"automating,automate"
multilin,3,multiline
resort,3,"resorting,resort"
beauti,3,beautiful
urlconf,3,urlconf
navig,3,"navigate,navigator,navigation"
inv,3,inv
depth,3,depth
most,3,most
region,3,region
fewer,3,fewer
nan,3,"nans,nan"
someapp,3,someapp
reus,3,reuse
jaro,3,jaro
â,3,â
jinja,3,jinja
variant,3,"variants,variant"
phrase,3,phrase
dirnam,3,dirname
signific,3,significant
jan,3,jan
overview,3,overview
assertcountequ,3,assertcountequal
returndocu,3,returndocument
middl,3,middle
thrown,3,thrown
lay,3,lay
rate,3,"rate,rated"
low,3,low
hang,3,"hang,hanging"
undefin,3,undefined
audio,3,audio
dress,3,dresses
noob,3,noob
mk,3,mk
seriou,3,serious
confirm,3,"confirmed,confirm"
breakpoint,3,"breakpoint,breakpoints"
loss,3,loss
ipc,3,ipc
experienc,3,"experiencing,experienced"
whichev,3,whichever
twitter,3,twitter
cli,3,cli
seteuid,3,seteuid
same,3,same
chart,3,"charts,chart"
wall,3,wall
vx,3,vx
super,3,super
beyond,3,beyond
travers,3,"traverse,traverses"
vy,3,vy
pageon,3,pageone
zeromq,3,zeromq
earli,3,early
will,3,"will,willing"
recurr,3,recurrence
cython,3,cython
afaik,3,afaik
slowdown,3,slowdown
throughput,3,throughput
zipfil,3,zipfile
elimin,3,"eliminate,eliminating"
parti,3,"party,parties"
db_type,3,db_type
emul,3,"emulate,emulator"
feasibl,3,feasible
invers,3,inverse
cursor,3,"cursor,cursors"
devel,3,devel
powerset,3,powerset
reg_no,3,reg_no
david,3,david
installed_app,3,installed_apps
ftp,3,ftp
outer,3,outer
ton,3,"tons,ton"
projectnam,3,projectname
lapack,3,lapack
hypertermin,3,hyperterminal
pac,3,pac
odbc,3,odbc
codepoint,3,codepoints
oh,3,oh
gpled,3,gpled
closest,3,closest
fwiw,3,fwiw
monitor,3,monitor
revers,3,"reversed,reverse"
consult,3,consult
fit_gener,3,fit_generator
bowlsk,3,bowlsk
untrust,3,untrusted
walk,3,walk
bcd,3,bcd
dill,3,dill
call_args_list,3,call_args_list
thousand,3,"thousand,thousands"
btw,3,btw
suppli,3,"supplied,supply"
reinstal,3,"reinstalling,reinstall"
rpc,3,rpc
ought,3,ought
quicker,3,quicker
headnodeid,3,headnodeid
schema,3,schema
pivot_t,3,"pivot_table,pivot_tables"
adher,3,adhere
myworkspac,3,myworkspace
multipart,3,multipart
dark,3,dark
machineri,3,machinery
rectangl,3,"rectangles,rectangle"
tostr,3,tostring
newli,3,newly
doctor,3,doctor
env,3,"envs,env"
temporarili,3,temporarily
redirect_uri,3,redirect_uri
ca,3,ca
sensit,3,sensitive
nr,3,nr
context_processor,3,context_processors
njob,3,njobs
forth,3,forth
rietveld,3,rietveld
zmq,3,zmq
uninstal,3,"uninstalling,uninstall"
anonym,3,"anonymity,anonymous"
grow,3,"growing,grow"
__getitem__,3,__getitem__
giant,3,giant
fourth,3,fourth
vote,3,"vote,voting,voted"
avro,3,avro
oblivion,3,oblivion
coverag,3,coverage
carri,3,carry
ctrl,3,ctrl
cmd,3,"cmd,cmds"
csr_matrix,3,csr_matrix
methodb,3,methodb
establish,3,established
shared_data,3,shared_data
qobj,3,qobj
honest,3,honest
innosetup,3,innosetup
tick,3,"tick,ticks"
href,3,href
lf,3,lf
reusabl,3,reusable
hat,3,hat
importlib,3,importlib
basichttpbind,3,basichttpbinding
he,3,he
technolog,3,technology
streamhandl,3,streamhandler
argu,3,argue
board,3,"board,boards"
t,3,t
slide,3,"slides,slide"
pydoctor,3,pydoctor
vagu,3,vague
stub,3,stub
xhtml,3,xhtml
ii,3,ii
abspath,3,abspath
tight,3,tight
cant,3,cant
reconsid,3,reconsider
pl,3,"pls,pl"
out,3,out
jo,3,jo
addsampl,3,addsample
dri,3,dry
credit,3,"credit,credits"
flat,3,flat
daughter,3,daughter
matur,3,"maturity,mature"
func,3,func
pagecontrol,3,pagecontrol
