,0
0,Assuming
1,all
2,the
3,scripts
4,are
5,python
6,the
7,easiest
8,solution
9,would
10,be
11,to
12,write
13,functions
14,that
15,imports
16,(and
17,thus
18,runs
19,)
20,the
21,other
22,scripts
23,.
24,point
25,to
26,these
27,functions
28,with
29,either
30,the
31,multiprocessing
32,or
33,threading
34,module
35,.
36,Now
37,that
38,you
39,have
40,each
41,script
42,running
43,in
44,its
45,own
46,process
47,or
48,thread
49,","
50,you
51,can
52,use
53,condition
54,objects
55,and
56,the
57,.wait()
58,.notify()
59,methods
60,to
61,have
62,them
63,stop
64,and
65,wait
66,on
67,each
68,other
69,.
70,All
71,the
72,documentation
73,to
74,implement
75,such
76,a
77,thing
78,can
79,be
80,found
81,here
82,.
83,http
84,://docs.python.org/library/threading.html
