,0
0,I
1,ended
2,up
3,changing
4,the
5,way
6,I
7,did
8,things
9,","
10,and
11,put
12,a
13,REST
14,API
15,around
16,the
17,Action
18,model
19,.
20,Updates
21,are
22,done
23,by
24,sending
25,PUT
26,to
27,a
28,/api/action/{id}
29,endpoint
30,.
31,My
32,API
33,client
34,can
35,be
36,asynchronous
37,so
38,that
39,the
40,requests
41,are
42,executed
43,in
44,parallel
45,.
46,Now
47,the
48,REST
49,API
50,itself
51,is
52,multiprocessed
53,and
54,spread
55,over
56,multiple
57,instances
58,and
59,SQLAlchemy
60,ensures
61,connections
62,to
63,the
64,database
65,are
66,concurrent
67,.
68,Client
69,usage
70,looks
71,like
72,this
73,:
