,0
0,I
1,am
2,relatively
3,new
4,to
5,Python
6,","
7,and
8,I
9,have
10,always
11,used
12,the
13,standard
14,cpython
15,(v2.5)
16,implementation
17,.
18,I
19,'ve
20,been
21,wondering
22,about
23,the
24,other
25,implementations
26,though
27,","
28,particularly
29,Jython
30,and
31,IronPython
32,.
33,What
34,makes
35,them
36,better
37,?
38,What
39,makes
40,them
41,worse
42,?
43,What
44,other
45,implementations
46,are
47,there
48,?
49,I
50,guess
51,what
52,I
53,'m
54,looking
55,for
56,is
57,a
58,summary
59,and
60,list
61,of
62,pros
63,and
64,cons
65,for
66,each
67,implementation
68,.
