,0
0,Short
1,Answer
2,:
3,Yes
4,","
5,of
6,course
7,.
8,All
9,you
10,need
11,is
12,to
13,wrap
14,the
15,C
16,++
17,code
18,with
19,a
20,Python
21,wrapper
22,.
23,Elaborated
24,:
25,Suppose
26,your
27,C
28,++
29,code
30,is
31,inside
32,class_file
33,.h.
34,In
35,the
36,same
37,directory
38,","
39,create
40,a
41,.pxd
42,file
43,with
44,any
45,name
46,of
47,your
48,choice
49,with
50,the
51,following
52,content
53,This
54,is
55,the
56,wrapper
57,of
58,the
59,C
60,++
61,file
62,.
63,That
64,'s
65,all
66,you
67,have
68,to
69,do
70,using
71,Cython
72,.
73,Further
74,you
75,need
76,to
77,write
78,a
79,.pyx
80,file
81,and
82,cimport
83,your
84,pxd
85,file
86,like
87,a
88,simple
89,module
90,.
91,You
92,also
93,need
94,to
95,have
96,a
97,setup
98,.py
99,which
100,will
101,create
102,a
103,.so
104,file
105,which
106,can
107,be
108,imported
109,by
110,Python
111,as
112,easily
113,as
114,any
115,other
116,python
117,module
118,.
119,Do
120,visit
121,http
122,://docs.cython.org/src/tutorial/cython_tutorial.html
123,for
124,any
125,more
126,help
127,.
128,I
129,hope
130,you
131,find
132,Cython
133,very
134,easy
135,and
136,very
137,light
138,-based.
