,0
0,Suppose
1,we
2,have
3,an
4,iterator
5,(an
6,infinite
7,one
8,)
9,that
10,returns
11,lists
12,(or
13,finite
14,iterators
15,"),"
16,for
17,example
18,one
19,returned
20,by
21,What
22,is
23,a
24,good
25,Python
26,idiom
27,to
28,get
29,an
30,iterator
31,(obviously
32,infinite
33,)
34,that
35,will
36,return
37,each
38,of
39,the
40,elements
41,from
42,the
43,first
44,iterator
45,","
46,then
47,each
48,from
49,the
50,second
51,one
52,","
53,etc
54,.
55,In
56,the
57,example
58,above
59,it
60,would
61,return
62,1
63,",2,3,1,2,3,...."
64,The
65,iterator
66,is
67,infinite
68,","
69,so
70,itertools
71,.chain(*infinite)
72,will
73,not
74,work
75,.
76,Related
77,Flattening
78,a
79,shallow
80,list
81,in
82,python
