,0
0,I
1,basically
2,want
3,to
4,initialize
5,an
6,empty
7,6
8,"-tensor,"
9,like
10,this
11,:
12,Is
13,there
14,a
15,better
16,way
17,than
18,writing
19,the
20,brackets
21,explicitly
22,?
