,0
0,Usually
1,$
2,ipython
3,notebook
4,will
5,launch
6,the
7,notebooks
8,and
9,kernels
10,at
11,he
12,current
13,working
14,directory
15,of
16,the
17,terminal
18,.
19,But
20,if
21,you
22,want
23,to
24,specify
25,the
26,launch
27,directory
28,","
29,you
30,can
31,use
32,--notebook-dir
33,option
34,as
35,follows
36,:
37,$
38,ipython
39,notebook
40,--notebook-dir=/path/to/specific/directory
