,0
0,An
1,easy
2,to
3,use
4,GUI
5,creator
6,for
7,Python
8,doesn
9,'t
10,exist
11,.
12,That
13,'s
14,amazing
15,really
16,considering
17,small
18,scripting
19,languages
20,like
21,AutoIt
22,and
23,AutoHotkey
24,have
25,great
26,and
27,very
28,simple
29,to
30,use
31,GUI
32,makers
33,.
34,Come
35,on
36,","
37,Python
38,followers
39,","
40,can
41,'t
42,you
43,do
44,better
45,?
