,0
0,As
1,Matthias
2,says
3,in
4,the
5,comment
6,","
7,it
8,doesn
9,'t
10,look
11,as
12,if
13,you
14,'re
15,actually
16,invoking
17,Django
18,at
19,all
20,-
21,those
22,are
23,normal
24,Apache
25,directory
26,indexes
27,(so
28,naturally
29,Django
30,won
31,'t
32,be
33,parsing
34,the
35,templates
36,","
37,since
38,it
39,'s
40,not
41,even
42,being
43,called
44,).
45,Since
46,you
47,'re
48,just
49,starting
50,out
51,","
52,you
53,should
54,not
55,be
56,using
57,Apache
58,at
59,all
60,","
61,but
62,start
63,up
64,the
65,local
66,development
67,server
68,(./manage.py
69,runserver
70,)
71,as
72,explained
73,in
74,the
75,tutorial
76,.
