,0
0,I
1,don
2,'t
3,know
4,what
5,SQLAlchemy
6,does
7,","
8,but
9,I
10,would
11,implement
12,the
13,interface
14,by
15,having
16,the
17,Session
18,.query()
19,method
20,return
21,a
22,Query
23,object
24,with
25,methods
26,like
27,filter
28,"(),"
29,order_by
30,"(),"
31,all
32,()
33,etc
34,.
35,Each
36,of
37,these
38,methods
39,simply
40,returns
41,a
42,new
43,Query
44,object
45,taking
46,into
47,account
48,the
49,applied
50,changes
51,.
52,This
53,allows
54,for
55,method
56,chaining
57,as
58,in
59,your
60,first
61,example
62,.
63,Your
64,own
65,code
66,example
67,has
68,numerous
69,problems
70,.
71,One
72,example
