,0
0,I
1,'m
2,trying
3,to
4,remove
5,several
6,strings
7,from
8,a
9,list
10,of
11,URLs
12,.
13,I
14,have
15,more
16,than
17,300k
18,URLs
19,","
20,and
21,I
22,'m
23,trying
24,to
25,find
26,which
27,are
28,variations
29,of
30,the
31,original
32,.
33,Here
34,'s
35,a
36,toy
37,example
38,that
39,I
40,'ve
41,been
42,working
43,with
44,.
45,What
46,I
47,'d
48,like
49,to
50,end
51,up
52,with
53,is
54,a
55,list
56,of
57,the
58,pages
59,without
60,the
61,language
62,or
63,locations
64,:
65,I
66,'ve
67,tried
68,list
69,comprehension
70,and
71,nested
72,for
73,loops
74,","
75,nothing
76,has
77,worked
78,yet
79,.
80,Can
81,anyone
82,help
83,?
