,0
0,If
1,you
2,need
3,globbing
4,abilities
5,","
6,there
7,'s
8,a
9,module
10,for
11,that
12,as
13,well
14,.
15,For
16,example
17,:
18,will
19,return
20,something
21,like
22,:
23,See
24,the
25,documentation
26,here
27,.
