,0
0,I
1,am
2,working
3,with
4,python
5,selenium
6,web
7,driver
8,.I
9,want
10,the
11,loop
12,through
13,the
14,table
15,for
16,the
17,text
18,inside
19,the
20,td
21,inside
22,tr
23,tag
24,like
25,thisBut
26,problem
27,here
28,is
29,the
30,class
31,name
32,is
33,always
34,changing
35,and
36,xpath
37,and
38,css_selector
39,is
40,also
41,changing
42,.example
43,xpath
44,will
45,be
46,like
47,this
48,.//*[@id='P825048fc6b084257a601fde4805c8c33_1_oReportCell']/table/tbody/tr[2]/td/table/tbody/tr/td/table/tbody/tr[3]/td[8]/div
49,But
50,the
51,id
52,is
53,changing
54,always
55,.so
56,couldn
57,'t
58,apply
59,driver
60,.find_element_by_id().I
61,think
62,regular
63,expressions
64,or
65,BeautifulSoup
66,can
67,be
68,used
69,to
70,solve
71,this
72,.I
73,am
74,beginner
75,to
76,regex
77,.So
78,is
79,there
80,any
81,way
82,this
83,could
84,be
85,solved
86,?
