,0
0,If
1,you
2,didn
3,'t
4,want
5,A
6,.f()
7,to
8,be
9,called
10,","
11,nothing
12,forces
13,you
14,to
15,use
16,super
17,().f():
18,The
19,above
20,does
21,exactly
22,what
23,your
24,C
25,#
26,code
27,does
28,;
29,create
30,two
31,separate
32,instances
33,and
34,invokes
35,f
36,()
37,on
38,each
39,","
40,where
41,B
42,.f()
43,completely
44,replaces
45,what
46,A
47,.f()
48,does
49,.
50,You
51,can
52,still
53,take
54,the
55,unbound
56,function
57,from
58,A
59,and
60,pass
61,in
62,an
63,instance
64,of
65,B
66,():
67,or
68,you
69,could
70,look
71,up
72,the
73,parent
74,method
75,without
76,a
77,reference
78,to
79,the
80,parent
81,class
82,with
83,:
84,This
85,is
86,however
87,quite
88,different
89,from
90,your
91,original
92,C
93,#
94,sample
95,.
