,0
0,If
1,we
2,want
3,to
4,show
5,exceptions
6,which
7,are
8,generated
9,","
10,on
11,ur
12,template
13,(500.html)
14,then
15,we
16,could
17,write
18,your
19,own
20,500
21,view
22,","
23,grabbing
24,the
25,exception
26,and
27,passing
28,it
29,to
30,your
31,500
32,template
33,.
34,"Steps:
#.In views.py:
},RequestContext(request)"
35,)))
36,#.In
37,Main
38,Urls
39,.py:
40,#.In
41,Template
42,(500.html):
43,more
44,about
45,it
46,here
47,:
48,https
49,://docs.djangoproject.com/en/dev/topics/http/views/#the-500-server-error-view
