,0
0,I
1,think
2,your
3,best
4,bet
5,would
6,be
7,to
8,install
9,fabric
10,and
11,rsync_project
12,on
13,'bastion'
14,and
15,use
16,fabrics
17,"""run"""
18,to
19,call
20,rsync_project
21,on
22,bastion
23,.
24,Another
25,option
26,would
27,be
28,to
29,use
30,"""get"""
31,to
32,receive
33,a
34,copy
35,from
36,bastion
37,and
38,run
39,rsync_project
40,locally
41,.
42,But
43,this
44,approach
45,will
46,not
47,match
48,your
49,picture
50,.
