,0
0,I
1,'m
2,trying
3,to
4,pull
5,information
6,from
7,the
8,'Key
9,Statistics
10,'
11,page
12,for
13,a
14,ticker
15,in
16,Yahoo
17,(since
18,this
19,isn
20,'t
21,supported
22,in
23,the
24,Pandas
25,library
26,).
27,Example
28,for
29,AAPL
30,:
31,Edit
32,:
33,thanks
34,Andy
35,!
36,Question
37,:
38,This
39,is
40,printing
41,an
42,empty
43,array
44,.
45,How
46,do
47,I
48,change
49,my
50,findAll
51,to
52,return
53,598
54,.56B?
