,0
0,If
1,you
2,don
3,'t
4,want
5,a
6,list
7,as
8,a
9,return
10,value
11,","
12,then
13,your
14,for
15,loop
16,is
17,the
18,best
19,way
20,.
21,Alternatively
22,","
23,you
24,could
25,use
26,one
27,of
28,python
29,'s
30,best
31,features
32,","
33,list
34,comprehensions
35,","
36,and
37,simply
38,not
39,assign
40,it
41,to
42,any
43,variable
44,.
45,List
46,comprehensions
47,are
48,usually
49,faster
50,.
