,0
0,I
1,think
2,np
3,.r_
4,might
5,be
6,what
7,you
8,'re
9,looking
10,for
11,.
12,You
13,could
14,use
15,np
16,".r_[b_0,"
17,somefunction
18,"(b_in),"
19,b_n
20,"],"
21,for
22,example
23,:
