,0
0,reduce
1,reduces
2,an
3,iterable
4,down
5,to
6,a
7,single
8,object
9,","
10,so
11,after
12,this
13,line
14,args
15,is
16,not
17,an
18,iterable
19,.
20,This
21,reduces
22,args
23,down
24,to
25,a
26,single
27,Q
28,object
29,that
30,ORs
31,all
32,of
33,the
34,items
35,in
36,query_word_list
37,together
38,.
39,If
40,you
41,want
42,to
43,pass
44,it
45,using
46,the
47,*
48,syntax
49,","
50,you
51,'ll
52,need
53,to
54,wrap
55,it
56,in
57,an
58,iterable
59,","
60,i
61,.e.
62,args
63,=
64,"(args,)."
