,0
0,You
1,could
2,transform
3,both
4,into
5,timedelta
6,objects
7,and
8,subtract
9,these
10,from
11,each
12,other
13,","
14,which
15,will
16,take
17,care
18,to
19,of
20,the
21,carry
22,-overs.
23,For
24,example
25,:
26,Negative
27,timedelta
28,objects
29,in
30,Python
31,get
32,a
33,negative
34,day
35,field
36,","
37,with
38,the
39,other
40,fields
41,positive
42,.
43,You
44,could
45,check
46,beforehand
47,:
48,comparison
49,works
50,on
51,both
52,time
53,objects
54,and
55,timedelta
56,objects
57,:
