,0
0,Simply
1,test
2,this
3,expression
4,:
5,I
6,explain
7,:
8,As
9,others
10,have
11,pointed
12,out
13,","
14,your
15,array
16,might
17,be
18,shorter
19,than
20,4
21,items
22,","
23,in
24,which
25,case
26,indexing
27,at
28,","
29,say
30,3
31,","
32,the
33,fourth
34,number
35,","
36,will
37,raise
38,an
39,IndexError
40,.
41,But
42,let
43,'s
44,use
45,the
46,feature
47,that
48,slicing
49,won
50,'t
51,raise
52,an
53,exception
54,","
55,that
56,is
57,:
58,In
59,the
60,above
61,example
62,I
63,took
64,a
65,slice
66,from
67,the
68,beginning
69,of
70,the
71,array
72,up
73,until
74,the
75,10
76,'th
77,item
78,","
79,and
80,didn
81,'t
82,get
83,an
84,exception
85,","
86,but
87,Python
88,returned
89,the
90,entire
91,list
92,.
93,Thus
94,","
95,you
96,could
97,do
98,the
99,check
100,as
101,simply
102,as
103,:
104,and
105,that
106,'s
107,all
108,!
