,0
0,Which
1,is
2,better
3,to
4,use
5,for
6,timing
7,in
8,Python
9,?
10,time
11,.clock()
12,or
13,time
14,.time()?
15,Which
16,one
17,provides
18,more
19,accuracy
20,?
21,for
22,example
23,:
24,vs
25,.
