,0
0,If
1,you
2,can
3,use
4,argparse
5,(i.e.
6,Python
7,2
8,".7+),"
9,it
10,has
11,built
12,-in
13,support
14,for
15,what
16,you
17,"want: straight from argparse doc
The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument()"
18,.
19,Arguments
20,that
21,have
22,FileType
23,objects
24,as
25,their
26,type
27,will
28,open
29,command
30,-line
31,arguments
32,[…]
33,FileType
34,objects
35,understand
36,the
37,pseudo
38,-argument
39,'-'
40,and
41,automatically
42,convert
43,this
44,into
45,sys
46,.stdin
47,for
48,readable
49,FileType
50,objects
51,and
52,sys
53,.stdout
54,for
55,writable
56,FileType
57,objects
58,.
59,So
60,my
61,advice
62,is
63,to
64,simply
65,use
66,Then
67,you
68,can
69,do
70,To
71,read
72,from
73,file
74,and
75,output
76,to
77,output
78,","
79,or
80,to
81,read
82,"""Ni!"""
83,and
84,output
85,to
86,output
87,","
88,or
89,…
90,And
91,it
92,'s
93,good
94,","
95,since
96,using
97,-
98,for
99,the
100,relevant
101,stream
102,is
103,a
104,convention
105,that
106,a
107,lot
108,of
109,programs
110,use
111,.
112,If
113,you
114,want
115,to
116,point
117,it
118,out
119,","
120,add
121,it
122,to
123,the
124,help
125,strings
126,.
127,For
128,reference
129,","
130,the
131,usage
132,message
133,will
134,be
