,0
0,This
1,may
2,not
3,work
4,until
5,all
6,depended
7,libraries
8,be
9,installed
10,","
11,so
12,install
13,ffmpeg
14,library
15,with
16,apt
17,-get:
18,This
19,will
20,install
21,all
22,dependenties
23,of
24,'ffmpeg
25,encoding
26,/decoding'
27,what
28,may
29,needs
30,the
31,pyffmpeg
32,library
33,.
