,0
0,To
1,split
2,the
3,string
4,by
5,blanks
6,you
7,need
8,to
9,use
10,For
11,the
12,input
13,"""set"
14,title
15,""""
16,you
17,will
18,get
19,a
20,parse
21,array
22,looking
23,like
24,this
25,where
26,parse
27,[0]
28,==
29,'set'
30,and
31,parse
32,[1]
33,==
34,'title'
35,If
36,you
37,want
38,to
39,test
40,whether
41,your
42,string
43,starts
44,with
45,"""set"
46,title
47,""","
48,either
49,check
50,the
51,command
52,string
53,itself
54,or
55,check
56,the
57,first
58,two
59,indexes
60,of
61,parse
62,.
