,0
0,Personally
1,I
2,work
3,on
4,a
5,Java
6,app
7,","
8,but
9,I
10,couldn
11,'t
12,get
13,by
14,without
15,perl
16,for
17,some
18,supporting
19,scripts
20,.
21,I
22,'ve
23,got
24,scripts
25,to
26,quickly
27,flip
28,what
29,db
30,I
31,'m
32,pointing
33,at
34,","
35,scripts
36,to
37,run
38,build
39,scripts
40,","
41,scripts
42,to
43,scrape
44,data
45,&
46,compare
47,stuff
48,.
49,Sure
50,I
51,could
52,do
53,all
54,that
55,with
56,java
57,","
58,or
59,maybe
60,shell
61,scripts
62,(I've
63,got
64,some
65,of
66,those
67,too
68,"),"
69,but
70,who
71,wants
72,to
73,compile
74,a
75,class
76,(making
77,sure
78,the
79,classpath
80,is
81,set
82,right
83,etc
84,)
85,when
86,you
87,just
88,need
89,something
90,quick
91,and
92,dirty
93,.
94,Knowing
95,a
96,scripting
97,language
98,can
99,remove
100,90
101,%
102,of
103,those
104,boring
105,/repetitive
106,manual
107,tasks
108,.
