,0
0,Attempt
1,an
2,import and
3,set
4,a
5,flag
6,if
7,fails
8,.
9,Then
10,use
11,the
12,flag
13,to
14,determine
15,whether
16,to
17,offer
18,graphic
19,output
20,:
