,0
0,That
1,is
2,indeed
3,CSS
4,.
5,You
6,'re
7,getting
8,a
9,document
10,like
11,this
12,:
13,You
14,need
15,to
16,remove
17,all
18,style
19,tags
20,before
21,parsing
22,out
23,the
24,text
25,.
