,0
0,I
1,'m
2,using
3,a
4,Tkinter
5,Text
6,box
7,in
8,my
9,Python
10,(using
11,2
12,.7.2)
13,script
14,as
15,an
16,entry
17,-type
18,box
19,--
20,when
21,enter
22,is
23,pressed
24,","
25,it
26,copies
27,the
28,contents
29,into
30,a
31,different
32,text
33,box
34,and
35,then
36,deletes
37,it
38,out
39,of
40,the
41,entry
42,one
43,.
44,I
45,'ve
46,bound
47,the
48,necessary
49,event
50,to
51,the
52,Text
53,box
54,when
55,the
56,Enter
57,key
58,is
59,pressed
60,.
61,The
62,only
63,problem
64,I
65,have
66,is
67,that
68,whenever
69,I
70,hit
71,the
72,Enter
73,key
74,","
75,it
76,seems
77,to
78,execute
79,my
80,event
81,and
82,then
83,the
84,widgets
85,"""default"""
86,binding
87,:
88,adding
89,a
90,newline
91,.
92,I
93,'m
94,not
95,sure
96,of
97,a
98,way
99,to
100,either
101,delete
102,the
103,newline
104,after
105,it
106,is
107,added
108,","
109,or
110,simply
111,get
112,rid
113,of
114,the
115,widgets
116,default
117,binding
118,.
119,Thanks
120,a
121,lot
122,!
