,0
0,Well
1,","
2,I
3,figured
4,it
5,out
6,.
7,Turns
8,out
9,that
10,the
11,metafunc
12,.parametrize
13,function
14,accepts
15,"""ids"""
16,as
17,a
18,parameter
19,.
20,All
21,I
22,had
23,to
24,do
25,was
26,define
27,the
28,__repr__
29,of
30,the
31,objects
32,I
33,was
34,looking
35,to
36,name
37,","
38,and
39,expanded
40,the
41,list
42,comprehension
43,so
44,I
45,could
46,return
47,two
48,things
49,from
50,the
51,same
52,loop
53,.
