,0
0,Hi
1,I
2,want
3,to
4,generalize
5,the
6,strategy
7,from
8,1
9,to
10,10
11,possible
12,investments
13,using
14,an
15,array
16,"(""instruments"")"
17,to
18,simplify
19,the
20,tasks
21,of
22,loading
23,the
24,10
25,feeds
26,","
27,creating
28,the
29,10
30,SMAs
31,and
32,then
33,","
34,each
35,day
36,","
37,checking
38,if
39,a
40,signal
41,crossing
42,happened
43,in
44,one
45,(or
46,more
47,)
48,of
49,the
50,instruments
51,.
52,I
53,am
54,stuck
55,in
56,this
57,.
58,Also
59,plotter
60,is
61,plotting
62,graphs
63,separately
64,but
65,i
66,want
67,plot
68,all
69,intruments
70,result
71,in
72,one
73,graph
74,.
75,This
76,is
77,my
78,code
79,:
