,0
0,The
1,python
2,copy
3,module
4,can
5,reuse
6,the
7,pickle
8,module
9,interface
10,for
11,letting
12,classes
13,customize
14,copy
15,behaviour
16,.
17,The
18,default
19,for
20,instances
21,of
22,custom
23,classes
24,is
25,to
26,create
27,a
28,new
29,","
30,empty
31,class
32,","
33,swap
34,out
35,the
36,__class__
37,attribute
38,","
39,then
40,for
41,shallow
42,copies
43,","
44,just
45,update
46,the
47,__dict__
48,on
49,the
50,copy
51,with
52,the
53,values
54,from
55,the
56,original
57,.
58,A
59,deep
60,copy
61,recurses
62,over
63,the
64,__dict__
65,instead
66,.
67,Otherwise
68,","
69,you
70,specify
71,a
72,__getstate__
73,()
74,method
75,to
76,return
77,internal
78,state
79,.
80,This
81,can
82,be
83,any
84,structure
85,that
86,your
87,class
88,__setstate__
89,()
90,can
91,accept
92,again
93,.
94,You
95,can
96,also
97,specify
98,the
99,__copy__
100,()
101,and
102,/or
103,__deepcopy__
104,()
105,methods
106,to
107,control
108,just
109,copy
110,behaviour
111,.
112,These
113,methods
114,are
115,expected
116,to
117,do
118,all
119,the
120,copying
121,themselves
122,","
123,the
124,__deepcopy__
125,()
126,method
127,is
128,passed
129,a
130,memo
131,mapping
132,to
133,pass
134,on
135,to
136,recursive
137,deepcopy
138,()
139,calls
140,.
141,An
142,example
143,could
144,be
145,:
146,This
147,example
148,defines
149,custom
150,copy
151,hooks
152,to
153,prevent
154,self
155,.spam
156,being
157,copied
158,too
159,","
160,as
161,a
162,new
163,instance
164,will
165,calculate
166,it
167,anew
168,.
