,0
0,I
1,have
2,some
3,data
4,in
5,pandas
6,which
7,I
8,'m
9,trying
10,to
11,save
12,as
13,32
14,-bit
15,float
16,but
17,instead
18,I
19,'m
20,always
21,getting
22,64
23,-bit
24,float
25,.
26,My
27,best
28,attempt
29,was
30,this
31,:
32,but
33,it
34,'s
35,not
36,working
37,..
38,any
39,ideas
40,?
