,0
0,I
1,am
2,trying
3,to
4,create
5,a
6,swig
7,package
8,for
9,python
10,that
11,offers
12,mysql
13,connectivity
14,.
15,But
16,when
17,I
18,try
19,to
20,import the
21,package
22,in
23,python
24,I
25,get
26,the
27,following
28,"error:
I am creating the package using the following commands (probably this is where I am making a blunder)"
29,I
30,am
31,able
32,to
33,do
34,mysql
35,connectivity
36,when
37,I
38,use
39,this
40,class
41,(IMysqlConnection.cc)
42,in
43,C
44,++
45,main
46,.
47,Any
48,help
49,and
50,guidance
51,will
52,me
53,much
54,appreciated
55,.
