,0
0,I
1,am
2,using
3,pyhs2
4,to
5,query
6,hive
7,through
8,python
9,but
10,I
11,cannot
12,set
13,the
14,queue
15,inside
16,the
17,query
18,.
19,I
20,want
21,to
22,set
23,the
24,queue
25,to
26,adhoc
27,and
28,when
29,I
30,try
31,to
32,put
33,the
34,queue
35,inside
36,the
37,query
38,:
39,The
40,second
41,part
42,of
43,the
44,query
45,doesn
46,'t
47,get
48,executed
