,0
0,By
1,default
2,collection
3,.find
4,or
5,collection
6,.findone()
7,functions
8,results
9,in
10,a
11,dictionary
12,types
13,and
14,if
15,you
16,pass
17,paramater
18,as_class=SomeUserClass
19,than
20,it
21,will
22,try
23,to
24,parse
25,the
26,result
27,into
28,this
29,class
30,format
31,.
32,but
33,it
34,seems
35,this
36,class
37,should
38,also
39,be
40,derived
41,class
42,of
43,dictionary
44,(as
45,it
46,required
47,__setitem__
48,function
49,to
50,be
51,defined
52,and
53,i
54,can
55,add
56,keys
57,in
58,the
59,class
60,).
61,Here
62,i
63,want
64,to
65,set
66,the
67,properties
68,of
69,the
70,class
71,.
72,how
73,can
74,i
75,do
76,achieve
77,this
78,?
79,Also
80,","
81,my
82,collection
83,class
84,contains
85,some
86,child
87,classes
88,as
89,properties
90,.So
91,how
92,can
93,i
94,set
95,the
96,properties
97,of
98,child
99,classes
100,also
101,.
