,0
0,Here
1,'s
2,a
3,version
4,that
5,puts
6,everything
7,into
8,a
9,class
10,so
11,we
12,don
13,'t
14,need
15,to
16,use
17,global
18,variables
19,.
20,It
21,also
22,avoids
23,the
24,import
25,*
26,construction
27,which
28,is
29,generally
30,considered
31,bad
32,style
33,in
34,Python
35,.
36,True
37,","
38,lots
39,of
40,example
41,code
42,uses
43,import
44,*
45,but
46,it
47,'s
48,not
49,a
50,good
51,practice
52,because
53,it
54,clutters
55,up
56,the
57,global
58,namespace
59,with
60,all
61,the
62,names
63,from
64,the
65,imported
66,module
67,.
68,So
69,those
70,names
71,can
72,clash
73,with
74,the
75,names
76,of
77,your
78,own
79,variables
80,","
81,and
82,they
83,can
84,also
85,clash
86,with
87,the
88,names
89,of
90,other
91,modules
92,you
93,import using
94,import
95,*.
96,The
97,program
98,prints
99,lists
100,of
101,the
102,selected
103,Groups
104,for
105,each
106,Test
107,row
108,when
109,the
110,window
111,closes
112,.
