,0
0,I
1,'m
2,developing
3,a
4,REST
5,api
6,with
7,Django
8,and
9,REST
10,-framework.
11,I
12,have
13,endpoint
14,which
15,takes
16,a
17,POST
18,request
19,with
20,this
21,kind
22,of
23,json
24,:
25,It
26,is
27,a
28,machine
29,-learning
30,analysis
31,api
32,and
33,the
34,json
35,tells
36,to
37,use
38,Bayes
39,classifier
40,to
41,provided
42,strings
43,and
44,return
45,results
46,.
47,This
48,works
49,fine
50,when
51,I
52,test
53,it
54,manually
55,by
56,doing
57,the
58,post
59,requests
60,.
61,However
62,","
63,it
64,breaks
65,down
66,when
67,I
68,try
69,to
70,write
71,an
72,unit
73,test
74,.
75,I
76,have
77,the
78,following
79,test
80,:
81,test
82,fails
83,everytime
84,because
85,of
86,the
87,latter
88,assert
89,gives
90,"""AssertionError:"
91,'P'
92,!=
93,1
94,""""
95,Here
96,is
97,my
98,view
99,code
100,:
101,The
102,really
103,interesting
104,part
105,was
106,when
107,I
108,fired
109,the
110,debugger
111,to
112,check
113,what
114,happens
115,here
116,.
117,Turns
118,out
119,that
120,the
121,line
122,gives
123,the
124,last
125,entry
126,of
127,the
128,list
129,in
130,in
131,my
132,request
133,","
134,in
135,this
136,case
137,"""Paska"
138,kesä
139,taas
140,.
141,Kylmää
142,ja
143,sataa
144,""""
145,However
146,","
147,while
148,I
149,inspect
150,the
151,contents
152,of
153,the
154,request
155,".data,"
156,it
157,shows
158,a
159,querydict
160,with
161,lists
162,pipeline
163,and
164,material
165,as
166,they
167,are
168,in
169,request
170,.
171,Why
172,do
173,I
174,get
175,string
176,instead
177,of
178,material
179,list
180,when
181,I
182,call
183,request
184,".data[""material""]"
185,?
186,Is
187,there
188,something
189,I
190,have
191,forgotten
192,and
193,I
194,have
195,to
196,specify
197,some
198,kind
199,of
200,serializer
201,?
202,And
203,why
204,it
205,works
206,during
207,normal
208,execution
209,but
210,not
211,with
212,tests
213,?
214,I
215,'m
216,using
217,Django
218,1
219,.8
220,with
221,Python
222,3
223,.
224,Also
225,","
226,I
227,'m
228,not
229,tying
230,the
231,view
232,to
233,any
234,specific
235,model
236,.
237,Finally
238,here
239,is
240,what
241,my
242,debugger
243,shows
244,when
245,I
246,put
247,break
248,points
249,into
250,view
251,:
252,request
253,.data:
254,asd = request
255,".data[""material""]:"
