,0
0,I
1,had
2,a
3,similar
4,problem
5,on
6,my
7,raspberry
8,pi
9,(and
10,on
11,my
12,mac
13,).
14,In
15,my
16,experience
17,the
18,pyaudio
19,library
20,is
21,a
22,pain
23,to
24,work
25,with
26,(after
27,2
28,weeks
29,of
30,battling
31,it
32,","
33,I
34,ended
35,up
36,using
37,pygame
38,).
39,What
40,worked
41,for
42,me
43,was
44,to
45,check
46,the
47,default
48,sample
49,rate
50,of
51,the
52,audio
53,out
54,and
55,check
56,that
57,its
58,the
59,same
60,and
61,play
62,sounds
63,back
64,as
65,numpy
66,arrays
67,.
68,So
69,on
70,the
71,RPi
72,","
73,I
74,'d
75,check
76,(extrapolating
77,from
78,ubuntu
79,here
80,...)
81,the
82,files
83,Does
84,direct
85,playback
86,of
87,numpy
88,arrays
89,work
90,?
91,If
92,so
93,you
94,could
95,do
96,it
97,in
98,a
99,roundabout
100,way
101,...
102,Here
103,is
104,some
105,code
106,to
107,test
108,if
109,you
110,like
111,This
112,worked
113,on
114,my
115,RPi
116,and
117,mac
118,","
119,but
120,as
121,said
122,before
123,I
124,ended
125,up
126,using
127,pygame
128,because
129,even
130,with
131,on
132,and
133,off
134,ramps
135,I
136,couldn
137,'t
138,get
139,rid
140,of
141,crackling
142,at
143,the
144,beginning
145,and
146,end
147,and
148,sample
149,rate
150,wasn
151,'t
152,something
153,that
154,could
155,be
156,easily
157,changed
158,.
159,I
160,would
161,really
162,recommend
163,against
164,pyaudio
165,","
166,but
167,if
168,you
169,are
170,set
171,on
172,it
173,I
174,wish
175,you
176,the
177,best
178,of
179,luck
180,!
181,:)
