,0
0,In
1,hadoop
2,streaming
3,","
4,you
5,can
6,only
7,run
8,1
9,map
10,and
11,1
12,reduce
13,job
14,at
15,a
16,time
17,(at
18,present
19,).
20,You
21,can
22,essentially
23,run
24,2
25,mappers
26,(or
27,any
28,number
29,of
30,mappers
31,)
32,in
33,1
34,job
35,by
36,piping
37,the
38,output
39,of
40,first
41,map
42,function
43,to
44,the
45,second
46,map
47,function
48,.
49,However
50,for
51,multiple
52,reducers
53,","
54,as
55,Ned
56,Rockson
57,said
58,","
59,you
60,'ll
61,have
62,2
63,independent
64,jobs
65,by
66,using
67,identity
68,mapper
69,in
70,the
71,second
72,job
