,0
0,The
1,result
2,is
3,None
4,because
5,that
6,is
7,the
8,cipher
9,that
10,has
11,been
12,negotiated
13,for
14,your
15,connection
16,.
17,Or
18,rather
19,","
20,it
21,is
22,None
23,because
24,no
25,cipher
26,has
27,been
28,negotiated
29,for
30,your
31,connection
32,yet
33,.
34,Cipher
35,selection
36,is
37,part
38,of
39,the
40,handshake
41,and
42,the
43,handshake
44,is
45,not
46,done
47,anywhere
48,in
49,this
50,example
51,.
52,Try
53,con
54,.do_handshake()
55,before
56,calling
57,SSL_get_current_cipher
58,.
59,Also
60,bear
61,in
62,mind
63,that
64,_
65,-prefixed
66,names
67,are
68,private
69,and
70,you
71,really
72,shouldn
73,'t
74,use
75,them
76,if
77,you
78,want
79,your
80,program
81,to
82,keep
83,working
84,with
85,future
86,versions
87,of
88,pyOpenSSL
89,.
