,0
0,I
1,am
2,trying
3,to
4,develop
5,a
6,program
7,that
8,a
9,user
10,enters
11,in
12,some
13,text
14,then
15,press
16,submit
17,and
18,it
19,would
20,take
21,the
22,text
23,in
24,the
25,entry
26,field
27,and
28,compare
29,it
30,to
31,another
32,value
33,.
34,The
35,code
36,is
37,intended
38,to
39,print
40,to
41,the
42,console
43,"""hello"""
44,if
45,"""hello"""
46,is
47,written
48,in
49,the
50,entry
51,field
52,before
53,the
54,user
55,presses
56,submit
57,.
58,However
59,","
60,the
61,code
62,does
63,not
64,print
65,"""hello"""
66,to
67,the
68,console
69,","
70,any
71,suggestions
72,?
