,0
0,Whatever
1,you
2,do
3,","
4,see
5,if
6,you
7,can
8,manage
9,to
10,follow
11,a
12,plan
13,where
14,you
15,do
16,not
17,have
18,to
19,port
20,the
21,application
22,all
23,in
24,one
25,big
26,bang
27,.
28,It
29,is
30,tempting
31,to
32,throw
33,it
34,all
35,away
36,and
37,start
38,from
39,scratch
40,","
41,but
42,if
43,you
44,can
45,manage
46,to
47,do
48,it
49,gradually
50,the
51,mistakes
52,you
53,do
54,will
55,not
56,cost
57,so
58,much
59,and
60,cause
61,so
62,much
63,panic
64,.
