,0
0,This
1,question
2,maybe
3,trivial
4,.
5,How
6,do
7,I
8,add
9,a
10,year
11,starting
12,with
13,1903
14,ending
15,with
16,2009
17,to
18,106
19,items
20,on
21,a
22,list
23,without
24,creating
25,a
26,long
27,HUGE
28,list
29,of
30,years
31,But
32,bypass
33,ones
34,with
35,a
36,year
37,?
38,For
39,Example
40,:
41,To
42,this
43,:
44,While
45,I
46,know
47,you
48,can
49,add
50,a
51,number
52,count
53,to
54,each
55,item
56,on
57,list
58,I
59,tried
60,:
61,I
62,get
63,TypeError
64,:
65,'function'
66,object
67,is
68,not
69,iterable
70,But
71,this
72,is
73,new
74,to
75,me
76,.
77,I
78,would
79,normally
80,have
81,more
82,to
83,show
84,but
85,I
86,really
87,don
88,'t
89,have
90,any
91,Idea
92,how
93,to
94,code
95,this
96,at
97,all
98,.
