,0
0,Im
1,trying
2,to
3,make
4,a
5,regular
6,expression
7,in
8,python
9,that
10,allows
11,me
12,to
13,find
14,a
15,word
16,within
17,a
18,string
19,"""n"""
20,times
21,For
22,example
23,","
24,if
25,i
26,wanted
27,to
28,find
29,a
30,expression
31,that
32,could
33,match
34,if
35,the
36,word
37,"""cat"""
38,is
39,exactly
40,two
41,times
42,.
43,How
44,i
45,would
46,do
47,that
48,?
49,It
50,should
51,accept
52,"""The"
53,blue
54,cat
55,talks
56,to
57,the
58,red
59,cat
60,in
61,the
62,tree
63,"""."
64,Because
65,it
66,has
67,"""cat"""
68,exactly
69,two
70,times
71,.
72,But
73,it
74,should
75,not
76,accept
77,"""The"
78,cat
79,is
80,big
81,"""."
82,Because
83,it
84,has
85,"""cat"""
86,only
87,once
88,And
89,it
90,should
91,not
92,accept
93,either
94,"""the"
95,dog
96,is
97,yellow
98,"""."
99,For
100,similar
101,reasons
102,Thanks
103,a
104,lot
105,EDIT
106,Hey
107,guys
108,Sorry
109,for
110,complicating
111,the
112,problem
113,too
114,much
115,","
116,but
117,i
118,forgot
119,to
120,mention
121,one
122,thing
123,.
124,If
125,i
126,wanted
127,to
128,find
129,"""cat"""
130,exactly
131,two
132,times
133,","
134,"""The"
135,catcat
136,runs
137,""""
138,would
139,also
140,match
