,0
0,model
1,refers
2,to
3,the
4,same
5,object
6,throughout
7,each
8,iteration
9,of
10,the
11,list
12,comprehension
13,in
14,model_GridSearch
15,","
16,so
17,you
18,'re
19,just
20,assigning
21,a
22,C
23,value
24,3
25,times
26,to
27,the
28,same
29,object
30,.
31,You
32,can
33,do
34,a
35,few
36,different
37,things
38,to
39,fix
40,this
41,:
42,you
43,could
44,a
45,copy
46,of
47,the
48,object
49,using
50,the
51,copy
52,module
53,","
54,or
55,pass
56,in
57,the
58,class
59,into
60,the
61,models_GridSearch
62,function
63,instead
64,of
65,an
66,instance
67,","
68,and
69,instantiate
70,an
71,object
72,on
73,each
74,iteration
75,.
76,You
77,could
78,also
79,refactor
80,your
81,code
82,in
83,various
84,ways
85,to
86,fix
87,things
88,.
89,It
90,all
91,depends
92,on
93,your
94,goals
95,.
96,Copy
97,method
98,:
99,Pass
100,in
101,class
102,:
