,0
0,I
1,'m
2,searching
3,for
4,a
5,string
6,Number
7,of
8,"copies: in a text file and once it's found, I want to print the digits associated with it, so I'm searching for, (\sNumber of copies: (\d{1,2})"
9,)
10,and
11,I
12,want
13,to
14,return
15,"(\d{1,2})."
16,I
17,'ve
18,been
19,researching
20,nested
21,groups
22,in
23,REGEX
24,","
25,but
26,I
27,don
28,'t
29,have
30,the
31,syntax
32,down
33,for
34,it
35,in
36,Python
37,.
38,Any
39,help
40,would
41,be
42,appreciated
43,.
44,Here
45,what
46,the
47,line
48,I
49,'m
50,looking
51,for
52,in
53,a
54,text
55,file
56,looks
57,"like:
My desired output would just be 2 and 2 because I'm looking for the number that follows the text.
fi2Content represent a whole text file read by Python.
I can print(zDiscs)"
58,but
59,I
60,can
61,'t
62,print
63,(zDiscs.group(2)).
64,Why
65,?
66,I
67,get
68,the
69,following
70,"error:
when I try to print(zDiscs.group(2)"
71,)
72,Here
73,'s
74,my
75,whole
76,script
77,if
78,that
79,helps
80,troubleshooting
