,0
0,I
1,tried
2,to
3,install
4,graph
5,-tool
6,on
7,Mac
8,OSX
9,10
10,.10
11,using
12,homebrew
13,.
14,The
15,brew
16,build
17,process
18,works
19,fine
20,","
21,but
22,when
23,I
24,try
25,to
26,import graph
27,-tool
28,I
29,get
30,the
31,error
32,described
33,in
34,this
35,question
36,.
37,Another
38,problem
39,with
40,homebrew
41,is
42,that
43,I
44,always
45,builds
46,graph
47,-tool
48,for
49,python2
50,.7
51,and
52,it
53,installs
54,the
55,packages
56,in
57,the
58,Python
59,2
60,.7
61,sit
62,-packages
63,folder
64,.
65,But
66,I
67,want
68,to
69,use
70,it
71,with
72,Python
73,3
74,.4.
75,These
76,are
77,the
78,reasons
79,why
80,I
81,tried
82,to
83,build
84,graph
85,-tool
86,from
87,source
88,.
89,The
90,./configure
91,command
92,automatically
93,uses
94,Python
95,2
96,".7,"
97,too
98,.
99,So
100,I
101,passed
102,it
103,the
104,desired
105,Python
106,version
107,with
108,./configure
109,PYTHON=python3
110,.4
111,It
112,then
113,detects
114,the
115,correct
116,version
117,as
118,well
119,as
120,the
121,related
122,paths
123,but
124,crash
125,with
126,the
127,following
128,error
129,:
130,configure
131,:
132,error
133,:
134,Could
135,not
136,link
137,test
138,program
139,to
140,Python
141,.
142,Maybe
143,the
144,main
145,Python
146,library
147,has
148,been
149,installed
150,in
151,some
152,non
153,-standard
154,library
155,path
156,.
157,If
158,so
159,","
160,pass
161,it
162,to
163,configure
164,","
165,via
166,the
167,LDFLAGS
168,environment
169,variable
170,.
171,Example
172,:
173,./configure
174,LDFLAGS
175,"=""-L/usr/non-standard-path/python/lib"""
176,======================================================================
177,ERROR
178,!
179,You
180,probably
181,have
182,to
183,install
184,the
185,development
186,version
187,of
188,the
189,Python
190,package
191,for
192,your
193,distribution
194,.
195,The
196,exact
197,name
198,of
199,this
200,package
201,varies
202,among
203,them
204,.
205,======================================================================
206,The
207,error
208,occurs
209,with
210,and
211,without
212,PYTHON
213,variable
214,set
215,.
216,From
217,the
218,output
219,of
220,./configure
221,I
222,can
223,see
224,that
225,everything
226,works
227,fine
228,except
229,for
230,the
231,last
232,line
233,","
234,which
235,says
236,:
237,checking
238,consistency
239,of
240,all
241,components
242,of
243,python
244,development
245,environment
246,...
247,no
248,Whats
249,does
250,the
251,above
252,line
253,mean
254,and
255,how
256,do
257,I
258,properly
259,install
260,graph
261,-tool
262,on
263,my
264,maschine
265,?
