,0
0,I
1,'m
2,using
3,sphinx
4,-autodoc-annotation
5,to
6,read
7,the
8,function
9,annotations
10,in
11,my
12,Python
13,code
14,and
15,use
16,that
17,to
18,generate
19,the
20,appropriate
21,expected
22,argument
23,types
24,and
25,return
26,types
27,.
28,It
29,'s
30,working
31,great
32,on
33,my
34,local
35,machine
36,","
37,but
38,I
39,had
40,to
41,pip
42,install
43,sphinx
44,-autodoc-annotation
45,of
46,course
47,.
48,I
49,'m
50,trying
51,to
52,generate
53,the
54,same
55,documentation
56,using
57,Read
58,the
59,Docs
60,","
61,but
62,it
63,gives
64,me
65,an
66,error
67,:
68,Is
69,it
70,possible
71,to
72,configure
73,Read
74,the
75,Docs
76,to
77,work
78,with
79,sphinx
80,"-autodoc-annotation,"
81,and
82,if
83,so
84,","
85,how
86,do
87,I
88,make
89,it
90,work
91,?
