,0
0,We
1,are
2,mainting
3,a
4,web
5,application
6,that
7,is
8,built
9,on
10,Classic
11,ASP
12,using
13,VBScript
14,as
15,the
16,primary
17,language
18,.
19,We
20,are
21,in
22,agreement
23,that
24,our
25,backend
26,(framework
27,if
28,you
29,will
30,)
31,is
32,out
33,dated
34,and
35,doesn
36,'t
37,provide
38,us
39,with
40,the
41,proper
42,tools
43,to
44,move
45,forward
46,in
47,a
48,quick
49,manner
50,.
51,We
52,have
53,pretty
54,much
55,embraced
56,the
57,current
58,webMVC
59,pattern
60,that
61,is
62,all
63,over
64,the
65,place
66,","
67,and
68,cannot
69,do
70,it
71,","
72,in
73,a
74,reasonable
75,manner
76,","
77,with
78,the
79,current
80,technology
81,.
82,The
83,big
84,missing
85,features
86,are
87,proper
88,dispatching
89,and
90,templating
91,with
92,inheritance
93,","
94,amongst
95,others
96,.
97,Currently
98,there
99,are
100,two
101,paths
102,being
103,"discussed:
Port the existing application to Classic ASP using JScript, which will allow us to hopefully go from there to .NET MSJscript without too much trouble, and eventually end up on the .NET platform (preferably the MVC stuff will be done by then, ASP.NET isn't much better than were we are on now, in our opinions)"
104,.
105,This
106,has
107,been
108,argued
109,as
110,the
111,safer
112,path
113,with
114,less
115,risk
116,than
117,the
118,next
119,option
120,","
121,albeit
122,it
123,might
124,take
125,slightly
126,longer
127,.
128,Completely
129,rewrite
130,the
131,application
132,using
133,some
134,other
135,technology
136,","
137,right
138,now
139,the
140,leader
141,of
142,the
143,pack
144,is
145,Python
146,WSGI
147,with
148,a
149,custom
150,framework
151,","
152,ORM
153,","
154,and
155,a
156,good
157,templating
158,solution
159,.
160,There
161,is
162,wiggle
163,room
164,here
165,for
166,even
167,django
168,and
169,other
170,pre
171,-built
172,solutions
173,.
174,This
175,method
176,would
177,hopefully
178,be
179,the
180,quickest
181,solution
182,","
183,as
184,we
185,would
186,probably
187,run
188,a
189,beta
190,beside
191,the
192,actual
193,product
194,","
195,but
196,it
197,does
198,have
199,the
200,potential
201,for
202,a
203,big
204,waste
205,of
206,time
207,if
208,we
209,can
210,'t/don't
211,get
212,it
213,right
214,.
215,This
216,does
217,not
218,mean
219,that
220,our
221,logic
222,is
223,gone
224,","
225,as
226,what
227,we
228,have
229,built
230,over
231,the
232,years
233,is
234,fairly
235,stable
236,","
237,as
238,noted
239,just
240,difficult
241,to
242,deal
243,with
244,.
245,It
246,is
247,built
248,on
249,SQL
250,Server
251,2005
252,with
253,heavy
254,use
255,of
256,stored
257,procedures
258,and
259,published
260,on
261,IIS
262,6
263,","
264,just
265,for
266,a
267,little
268,more
269,background
270,.
271,Now
272,","
273,the
274,question
275,.
276,Has
277,anyone
278,taken
279,either
280,of
281,the
282,two
283,paths
284,above
285,?
286,If
287,so
288,","
289,was
290,it
291,successful
292,","
293,how
294,could
295,it
296,have
297,been
298,better
299,","
300,etc
301,.
302,We
303,aren
304,'t
305,looking
306,to
307,deviate
308,much
309,from
310,doing
311,one
312,of
313,those
314,two
315,things
316,","
317,but
318,some
319,suggestions
320,or
321,other
322,solutions
323,would
324,potentially
325,be
326,helpful
327,.
