,0
0,You
1,don
2,'t
3,say
4,which
5,dbf
6,package
7,you
8,are
9,using
10,","
11,but
12,it
13,looks
14,like
15,mine
16,.
17,What
18,you
19,want
20,to
21,do
22,is
23,create
24,an
25,temporary
26,index
27,on
28,the
29,PROCOD
30,field
31,and
32,then
33,you
34,can
35,search
36,on
37,it
38,and
39,update
40,whichever
41,other
42,fields
43,you
44,need
45,to
46,:
47,If
48,the
49,product
50,code
51,is
52,not
53,unique
54,","
55,then
56,the
57,above
58,"""should"
59,only
60,be
61,one
62,product
63,with
64,that
65,code
66,comment
67,""""
68,is
69,wrong
70,.
71,Change
72,the
73,index
74,to
75,:
76,and
77,then
78,search
79,with
80,:
