,0
0,I
1,believe
2,the
3,try
4,-catch
5,mentioned
6,in
7,a
8,similar
9,post
10,here
11,on
12,SO
13,could
14,be
15,adapted
16,to
17,cover
18,it
19,.
20,If
21,you
22,wrap
23,the
24,pool
25,.map
26,call
27,in
28,the
29,try
30,-catch
31,and
32,then
33,call
34,terminate
35,and
36,join
37,I
38,think
39,that
40,would
41,do
42,it
43,.
44,[Edit]
45,Some
46,experimentation
47,suggests
48,something
49,along
50,these
51,lines
52,works
53,well
54,:
55,I
56,simplified
57,your
58,example
59,somewhat
60,to
61,avoid
62,having
63,to
64,load
65,numpy
66,on
67,my
68,machine
69,to
70,test
71,but
72,the
73,critical
74,part
75,is
76,the
77,two
78,try
79,-except
80,calls
81,which
82,handle
83,the
84,CTRL
85,+C
86,key
87,presses
88,.
