,0
0,I
1,'ve
2,just
3,looked
4,at
5,this
6,frames
7,one
8,more
9,time
10,and
11,I
12,'ve
13,realized
14,that
15,the
16,first
17,"byte:
which according to the specification means that RSV1 is used (the second bit is 1)"
18,.
19,This
20,seems
21,to
22,mean
23,that
24,the
25,extension
26,is
27,used
28,and
29,indeed
30,in
31,my
32,handshake
33,code
34,I
35,'ve
36,found
37,the
38,following
39,line
40,:
41,and
42,in
43,Chrome
44,I
45,can
46,see
47,:
48,when
49,I
50,do
51,the
52,handshake
53,.
54,I
55,'m
56,not
57,sure
58,yet
59,how
60,these
61,extensions
62,work
63,but
64,removing
65,these
66,3
67,lines
68,from
69,the
70,handshake
71,code
72,fixes
73,the
74,issue
75,.
