,0
0,This
1,web
2,.session
3,module
4,gives
5,you
6,the
7,session
8,support
9,","
10,initializer
11,-
12,You
13,can
14,set
15,the
16,initial
17,session
18,which
19,is
20,not
21,mandatory
22,.
23,"eg: initializer={'room': None} sets the initial session of room to None.
DiskStore makes the session to save in disk whereas DBStore stores session in databases.
app gives the application instance created as
web.application(urls, globals()"
24,)
25,with
26,URLs
27,which
28,mapped
29,to
30,the
31,relevant
32,classes
33,.
34,Refer
35,this
36,.
