,0
0,A
1,good
2,hockey
3,player
4,plays
5,where
6,the
7,puck
8,is
9,.
10,A
11,great
12,hockey
13,player
14,plays
15,where
16,the
17,puck
18,is
19,going
20,to
21,be
22,.
23,-
24,Wayne
25,Gretzky
26,Our
27,industry
28,is
29,always
30,changing
31,.
32,No
33,language
34,can
35,be
36,mainstream
37,forever
38,.
39,To
40,me
41,Java
42,","
43,C
44,"++,"
45,.Net
46,is
47,where
48,the
49,puck
50,is
51,right
52,now
53,.
54,And
55,python
56,","
57,ruby
58,","
59,perl
60,is
61,where
62,the
63,puck
64,is
65,going
66,to
67,be
68,.
69,Decide
70,for
71,yourself
72,if
73,you
74,wanna
75,be
76,good
77,or
78,great
79,!
