,0
0,This
1,is
2,usually
3,a
4,problem
5,when
6,you
7,'re
8,using
9,a
10,version
11,of
12,Python
13,other
14,than
15,the
16,one
17,Panda3D
18,is
19,compiled
20,with
21,.
22,If
23,you
24,are
25,using
26,the
27,1
28,.9.0
29,Lion
30,build
31,of
32,Panda3D
33,","
34,make
35,sure
36,you
37,are
38,using
39,the
40,system
41,-provided
42,copy
43,of
44,Python
45,2
46,".7,"
47,by
48,explicitly
49,running
50,"""python2.7"""
51,or
52,"""ppython"""
53,(which
54,should
55,be
56,a
57,symlink
58,to
59,the
60,correct
61,version
62,of
63,Python
64,).
