,0
0,You
1,can
2,utilise
3,itertools
4,.cycle
5,to
6,repeat
7,one
8,of
9,the
10,iterables
11,","
12,"eg:
Note that while cycle will repeat its elements indefinitely, izip stops on the shortest iterable (list1)"
13,.
