,0
0,I
1,have
2,two
3,questions
4,regarding
5,to
6,the
7,positioning
8,of
9,a
10,mpl
11,window
12,(using
13,WXAgg
14,backend
15,)
16,1
17,-)
18,How
19,to
20,create
21,a
22,maximized
23,window
24,","
25,instead
26,of
27,me
28,clicking
29,on
30,window
31,to
32,maximize
33,it
34,each
35,time
36,?
37,2
38,-)
39,I
40,have
41,two
42,screens
43,.
44,Interestingly
45,","
46,my
47,mpl
48,windows
49,tend
50,to
51,open
52,on
53,my
54,small
55,screen
56,.
57,How
58,can
59,I
60,force
61,mpl
62,/ipython/WX/X-windows
63,to
64,open
65,mpl
66,windows
67,on
68,my
69,2nd
70,and
71,bigger
72,monitor
73,?
74,Thanks
75,.
