,0
0,I
1,'ve
2,just
3,begun
4,learning
5,sockets
6,with
7,Python
8,.
9,So
10,I
11,'ve
12,written
13,some
14,examples
15,of
16,chat
17,servers
18,and
19,clients
20,.
21,Most
22,of
23,what
24,I
25,'ve
26,seen
27,on
28,the
29,internet
30,seems
31,to
32,use
33,threading
34,module
35,for
36,(asynchronous)
37,handling
38,of
39,clients
40,'
41,connections
42,to
43,server
44,.
45,I
46,do
47,understand
48,that
49,for
50,scalable
51,server
52,you
53,need
54,to
55,use
56,some
57,additional
58,tricks
59,","
60,because
61,thousands
62,of
63,threads
64,can
65,kill
66,the
67,server
68,(correct
69,me
70,if
71,I
72,'m
73,wrong
74,","
75,but
76,is
77,it
78,due
79,to
80,GIL
81,"?),"
82,but
83,that
84,'s
85,not
86,my
87,concern
88,at
89,the
90,moment
91,.
92,The
93,strange
94,thing
95,is
96,that
97,I
98,'ve
99,found
100,somewhere
101,in
102,Python
103,documentation
104,that
105,creating
106,subprocesses
107,is
108,the
109,right
110,way
111,(unfortunelty
112,I
113,'ve
114,lost
115,the
116,reference
117,","
118,sorry
119,:(
120,)
121,for
122,handling
123,sockets
124,.
125,So
126,the
127,question
128,is
129,:
130,to
131,use
132,threading
133,or
134,multiprocessing
135,?
136,Or
137,is
138,there
139,even
140,better
141,solution
142,?
143,Please
144,","
145,give
146,me
147,the
148,answer
149,and
150,explain
151,the
152,difference
153,to
154,me
155,.
156,By
157,the
158,way
159,:
160,I
161,do
162,know
163,that
164,there
165,are
166,things
167,like
168,Twisted
169,which
170,are
171,well
172,-written.
173,I
174,'m
175,not
176,looking
177,for
178,pre
179,-made
180,scalable
181,server
182,","
183,I
184,am
185,instead
186,trying
187,to
188,understand
189,how
190,to
191,write
192,one
193,that
194,can
195,be
196,scaled
197,or
198,will
199,deal
200,with
201,at
202,least
203,10k
204,clients
205,.
206,EDIT
207,:
208,The
209,operating
210,system
211,is
212,Linux
213,.
