,0
0,If
1,I
2,have
3,a
4,list
5,of
6,card
7,suits
8,in
9,arbitrary
10,order
11,like
12,so
13,:
14,and
15,I
16,want
17,to
18,return
19,a
20,list
21,without
22,the
23,'c'
24,is
25,there
26,a
27,simple
28,way
29,to
30,do
31,this
32,?
