,0
0,Create
1,a
2,file
3,called
4,config
5,.py
6,and
7,paste
8,the
9,follwing
10,into
11,it
12,.
13,then
14,copy
15,this
16,code
17,in
18,a
19,file
20,called
21,config
22,.xml
23,After
24,all
25,of
26,the
27,resources
28,defined
29,in
30,the
31,config
32,.xml
33,file
34,","
35,simply
36,call
37,the
38,following
39,from
40,a
41,command
42,prompt
43,.
44,Make
45,sure
46,you
47,have
48,access
49,to
50,wsadmin
51,.
52,This
53,will
54,create
55,all
56,your
57,resources
58,into
59,a
60,profile
61,called
62,MyProfile
63,.
64,Hope
65,it
66,helps
67,.
