,0
0,In: is the standard ipython prompt. It is ipython's way of telling you that it is waiting for input (just like >>> in the standard python interpreter)
1,.
2,Note
3,that
4,output_notebook
5,will
6,only
7,function
8,in
9,the
10,browser
11,"(i.e.,"
12,in
13,the
14,notebook
15,).
16,If
17,you
18,want
19,to
20,run
21,code
22,in
23,a
24,command
25,line
26,ipython
27,shell
28,(I
29,am
30,assuming
31,that
32,is
33,what
34,you
35,mean
36,by
37,"""in"
38,regular
39,iPython
40,""")"
41,then
42,you
43,will
44,have
45,to
46,use
47,output_file
48,or
49,one
50,of
51,the
52,functions
53,in
54,bokeh
55,.embed.
